Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;12;12;-4;+7;+7;
3;m;14;15;-7;+4;+4;
4;m;15;12;-9;+2;+7;
f+1;h;7;10;+1;+8;+8;
f+2;m;12;17;-4;+7;+7;
f+3;m;15;16~17;-9~-8;+5~+6;+5~+6;
f+4;m (TJ);14;27 js9~30;-4;+9s;+9s;
d/f+1;m;13;13~14;-1~0;+7~+8;+7~+8;
d/f+2;?;14;15;-13;Launch (JG?);Launch (JG?);
d/f+3;m;15;14;-9;+2;+2;
d/f+4;l (TJ);19;25 js6~23;-12;+7s;KND;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;17;16;0;0;KND;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l (TC);7;13s;-13;-2;-2;
d/b+1;m;20;21 pc8~;-13;KND;KND;Power crush
d/b+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d/b+3;l, (TWISTL);17;15;-11;+7s;+7s;
d/b+4;l (TC);15;18 cs6~;-14;-3;-2;
b+1;m;25;17~19;-11~-9;KND;Launch;
b+2;m;20;22;-4;KND;KND;
b+3;m;15;17;-11;+10kg;+10kg;Tail spin, Homing
b+4;m;17;16;-8;+8;CS;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+3(u+3 or u/b+3);m (TJ);13(10,7);15~16 js9~;-15~-14;Launch;Launch;
u/b+4;! (TJ);60;76~77 js48~;TFU;TFU;TFU;
u+4;m;15;15~16 js9~;-13~-12;KND;Launch (JG?);
u/f+4;m;13;15~16 js9~;-13~-12;Launch (JG?);Launch (JG?);
WS+1;m;10;14~15;-5~-4;+6~+7;+6~+7;
WS+2;m;20;16;-13;Launch (JG?);Launch (JG?);
WS+3;m (TC);25;15~16 cs1~;-12~-11;KND;JG;
WS+4;m;24;11;-3;+8;+8;
FC+d/b or d+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);10;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;13s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;12;12;-4;+7;+7;
SS+3;m;17;15;-7;+4;+4;
SS+4;l;17;21~22b (30~) cs6~;-9~-8 (11b);+2~+3;KND;
BT 1 or 2;h;12;8~9;+1~+2;+8~+9;+8~+9;
BT 3;m;20;15~16;-44~-43 (~20a);-23~-22a;-23~-22a;
BT 4;m (TJ);30;23~25 js6~;-10~-8s;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3;l;12;10s cs1~;-11;+3;+3;
BT d/b or d or d/f+4;l (TC);18;19s cs4~;-16;-5;-2;
