template;https://gfycat.com/ifr/{url}
1, 2;FlawedAdvancedLeafhopper
2, 3;WelloffYearlyGrub
2, 4;FavorableAdmirableCopepod
3, 3, 4;FriendlyDifficultCusimanse
4~3, 1;OrneryResponsibleIchthyosaurs
1+2;WeeklyUnimportantLeafcutterant
u+3, 3;JaggedAlienatedHerculesbeetle
u+3, 4;WarlikeGlassCrab
u+3, d+3;HollowImmaculateIndianelephant
u+3, d+3, 3;NarrowHonoredBigmouthbass
uf+3;BlaringLinedArabianwildcat
uf+4, 4;HighlevelBadAmoeba
uf+3+4, 4, 2;BlindDisgustingAntarcticfurseal
uf+3+4, f+4, 2;BlindDisgustingAntarcticfurseal
uf+3+4, f+4, 3;BitesizedShockedGossamerwingedbutterfly
uf+3+4, 3+4;OpulentScratchyApe
f+2, 3;DisastrousUnripeDiamondbackrattlesnake
f+3, 2;HarmfulEmotionalBullmastiff
f+4;SevereCoordinatedAustraliansilkyterrier
f, F+2;WarmheartedCompleteIsabellinewheatear
f, F+3;UncomfortableIllegalBarasingha
f, F+4;SerpentineOrderlyGallinule
df+1;SarcasticGrizzledBullfrog
df+2, 3;TintedLimpAntlion
df+2, 4;UncommonHalfGermanpinscher
df+3;DaringBitesizedKrill
df+4, 4, 3;DirectCarelessAmmonite
d+3;ThoughtfulShrillBlobfish
d+4;FirsthandRecentIndianelephant
db+2, 1;WindyWatchfulHound
db+3;EarnestMeagerIvorybackedwoodswallow
db+4;VariableSpottedFlyingfish
b+1;UnevenLeadingIslandwhistler
b+2, 2, 3;MiserableInfatuatedChinesecrocodilelizard
b+2, 2, 1+2;DigitalSecondhandGrub
b+2, 4, 2;UnsightlyAmazingAntarcticgiantpetrel
b+3;HarshFrayedArrowana
b+4, B+4, 3, 4, 2;CheeryDecentBushbaby
b+4, B+4, 3, f+4, 2;CheeryDecentBushbaby
b+4, B+4, 3, f+4, 3;TestyGrouchyBabirusa
b+4, B+4, 3, 3+4;LankyCreepyAidi
b+1+2, 3;MaleQuestionableGrassspider
b, B+2;VeneratedEarlyCurlew
ub+1, 2;GivingGrandioseFluke
FC+df+3+4:4;RadiantShockedAsianwaterbuffalo
WS+1;AdeptSpiffyDipper
WS+3;TallEnergeticHackee
WS+4;DaringBitesizedKrill
WS+3+4;FaithfulGrippingKomododragon
3+4;FarflungPessimisticAsiaticmouflon
1, 2, 3+4;SpecificEasygoingGreatargus
qcf+1, 3+4;GlossyRegalIlladopsis
HAZ 3;RecklessDevotedAmericancrow
HAZ 4 (close);OrganicQualifiedFossa
HAZ 1+2;KindVictoriousHydatidtapeworm
b+3+4;SourBetterHoneyeater
3~4;FirmNeedyKillifish
4, 1;DefiantWellmadeBassethound
qcf+4;SharpCourageousAstrangiacoral
db+2;BlueVictoriousFlicker
b+4, 4;ThoseUniqueIndianrhinoceros
b+4, B+4;MilkyZanyGermanspaniel
b+1+2, 2;HealthyAdorableCondor
LAB 3, 4, 4;MinorGlossyAmericansaddlebred
LAB f+3+4;AcademicReadyBass
LAB b+3;MenacingEvenCarpenterant
LAB f, F+3+4 (close);MiniatureHideousAuklet
LAB b+3+4;SourBetterHoneyeater
LAB 1, 4;IncompletePeskyDromedary
LAB 2, 1;SatisfiedSillyFallowdeer
LAB 2, 2;WeepyWhirlwindEchidna
LAB 3, 4, 3;FondSmallHomalocephale
LAB 3+4;HandmadeNervousCrow
LAB f+2, 3;MindlessSpitefulAzurevase
LAB f+2, 4, 2;DistinctComplicatedBelugawhale
LAB f+3;AthleticMajorJackrabbit
LAB f+4, 3;SickThoughtfulJackal
LAB d+3 (close);VariableSpottedFlyingfish
LAB b+2, 3;WatchfulVastAmazondolphin
LAB b+2, 4;NeglectedWeakKitten
