Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d/b+3+4;m (TJ);55;20 pc8~17 js9~17;-22;KND;KND;Rage art
in rage f+3+4;m (TJ)(, (throw));20,10;15~18 js7~;+5~+8;KND;KND;Rage art
in rage f+3+4, When hit 2;m (TJ), (throw), h;20,10,15;15~18 7~;;KND;;Rage art, Tail spin
in rage f+3+4, When hit d+2;m (TJ), (throw), !;20,10,35;15~18 7~;;KND;;Rage art
1;h;7;10;+1;+8;+8;
1, 1;h, m;7,9;10;-9;+2;+2;
1, 1, 4;h, m, m(bt);7,12;23;10;-14(bt);KND;KND
1, 2;h, h;7,12;10;-1;+6;+6;
1, 2, 3+4;h, h, (Special);7,12;10;-10;-3;-3;
2;h;10;10;-1;+8;+8;
2, 3;h, l (TC);10,10;s cs6~;-12;-1;-1;
2, 4;h, h;10,17; 6~;-12~-10;+10~+12kg;KND;Tail spin
3;m;12;14~15;-8~-7;+3~+4;+3~+4;
3, 3;m, h;12,12;14~15;-8~-7;+3~+4;+3~+4;
3, 3, 4;m, h, h;12,10,20;14~15a;-9;KND;KND;
3, 3, 4, b (Cancel);m, h, (Special);12,10;14~15ab;-16~-15;-8~-7;-5~-4;
4;h;17;12;-8;+3;JG;
4, 1;h, h;17,12;12b;-2~-1;+5~+6;+5~+6;
3~4;mm(BT);11,13;25~26, 31~36b (17~);-9~-4;KND;KND;
3~4, f;mm, (PHR);11,13;25~26, 31~36a (17~);-39~-34;KND;KND;
4~3;mm;13,15;25 js14~;-14~-12;Launch;Launch;
4~3, 1;m, m, l (TC);8,10(12),12;s cs1~;-13~-12;+4~+5;+4~+5;
4~3, 3;m, m, h;8,10(12),23; 1~;-4~0;KND;KND;Tail spin
4~3, 4;m, m, m;8,10(12),17; 1~;-14~-13;KND;KND;
1+2;m(Attack returned);23;14;-9;CS;KND;
f+2;m;12;15~16;-10~-9;+1~+2;+1~+2;
f+2, 3;m, m;12,19;15~16;-10~-9;+6~+7s;KND;
f+3;m;18;17;-10;+1;+1;Homing
f+3, B;m(BT);18;17b;-6;+5;+5;Homing
f+3, 2;m, m;18,21;17;-14;KND;CS;
f+4;h;25;15~16;-9~-8;KND;KND;
f+1+2;m;24;19~21 pc8~21;-14~-12;KND;KND;Power crush, Homing
d/f+1;m;15;14~15;-1~0;+7~+8;+7~+8;
d/f+2;m;16;16~18b;-11~-9;Launch (JG?) +3(SH);Launch (JG?);
d/f+2, 3;m, h;16,25;16~18;-3~-2;KND;KND;Tail spin
d/f+2, 4;m, m;16,20;16~18;-15~-14;KND;KND;
d/f+3;h (TC);21;15~16 cs8~;-9~-8;+7~+8(SH);Launch;
d/f+4;m;13;15~16;-15~-14;-1~0 (Launch (JG?));-1~0 (Launch (JG?));
d/f+4, 4;m, m;13,13;15~16;-15~-14;KND;KND;
d/f+4, 4, 3;m, m, m (TJ);13,15,22;js1~;-6~-3;KND;KND;
d/f+4, 4, U;m, m, (Special) (TJ);13,15;js1~;-29~-26;-18~-15s -10~-7s;KND;
d/f+1+2;m;30;40;-12;KND;KND;
d/f+1+2, B (Cancel);(BT);;b;;;;
