template;https://gfycat.com/ifr/{url}
1, 1, 2;VioletMarriedElephantbeetle
1, 2;HonoredGlassIberianlynx
1, 2, 2;CreepyNextGannet
1, 2, 4;ClosedTerribleEyelashpitviper
1, 4, 2;AmbitiousSoupyDrake
2, 1, 4;VariableSlimChipmunk
2, 2, 2, 2;ShorttermLoneHapuku
4, 2;AdoredDistantAracari
1+2;HonoredGlassIberianlynx
2+3;MixedRepulsiveGull
f+2, 2 (only during hit from front);WillingKindheartedAfricanfisheagle
f+3, 2;BogusGrouchyCod
f+2+3;HardTameGoitered
df+1, 1, 2;WeirdShallowAzurevasesponge
df+1, 2;SinfulVastHydatidtapeworm
df+2;BlackandwhiteNarrowDutchsmoushond
df+3, 1, 4;SlipperyEuphoricKagu
df+4, 2;ThoughtfulJitteryArieltoucan
df+4, 3;NearTastyDiplodocus
df+1+2;SinfulVastHydatidtapeworm
d+2;BewitchedBackAfricanelephant
CH d+2;AmbitiousCluelessClam
d+3;FrightenedFlippantBengaltiger
db+4;EuphoricTemptingAlligator
db+1+2;TenseDisastrousHeron
b+1, 2;DistinctColossalBrontosaurus
b+2, 2 (only during hit from front);DeafeningUnequaledIzuthrush
b+2, 3;SelfreliantWarmEkaltadeta
b+3;RevolvingSentimentalHoopoe
b+4;UnfortunateSplendidArchaeocete
b+1+2;DistinctColossalBrontosaurus
ub+2;GentleEducatedLcont
uf+2;ExemplarySpeedyChuckwalla
uf+3;OrangeGiddyFlycatcher
uf+4;AptPleasantBullmastiff
f, F+2;LimpBlindGroundbeetle
f, F+3, 2;CreativeAbandonedHypacrosaurus
f, F+4;AltruisticAmusingCapeghostfrog
f, F+1+2;MediumAdventurousBillygoat
qcf+1;LavishGlossyBoutu
f, f, f+2 (or WR+2);WarmheartedMammothCormorant
BT 2;InsignificantVagueIberianlynx
FC+df+2;PastelCornyAfricanparadiseflycatcher
SSL 2;ForkedSingleCanine
SSR 2;BlindUnequaledGermanshepherd
WS+1, 2;WellinformedCalculatingAlpinegoat
WS+2;InconsequentialMerryGlassfrog
WS+3, 2;BogusGrouchyCod
3+4;VigorousTerrificGossamerwingedbutterfly
1, 2*;AgedUnknownFoxterrier
INT 3;DisastrousQuestionableAfricanporcupine
INT 4;AbsoluteFormalHawk
CH 2+3;LegitimateGloriousBallpython
df+1, 2*;MiniatureBothDassie
df+2*;QuaintWideFerret
df+4, 2*;DelayedRegalHarpseal
db+2 (must hit);PleasingCarefreeFieldspaniel
WS+1, 2*;ImprobableOpulentBlackrussianterrier
WS+2*;GregariousGlamorousIrishredandwhitesetter
INT 1, 2;HatefulSharpBuzzard
INT 2;HomelyTiredCirriped
INT df+2;QuerulousEnragedLeveret
INT d+2;CreativeFancyCivet
2+3+4;RewardingDismalGrayling
f+1+2;KindheartedKindBeaver
INT 1+2;HatefulSharpBuzzard
in rage d+1+2;BelatedInsistentBabirusa
in rage b+2+3;SelfreliantWarmEkaltadeta
in rage b+2+3, F;ShimmeringClearGoral
in rage b+2+3, B;TangibleHarmlessJanenschia
db+1+2*;WeightyTangibleHeifer
INT 2+3 (B to cancel);AcceptableIncompatibleIlsamochadegu
Approach enemy... 1+3;HonoredFarIncatern
Approach enemy... 2+4;SphericalInfatuatedBoaconstrictor
Approach enemy... uf+1+2;ComfortableDishonestAntarcticfurseal
Approach enemy... f+1+3;HonoredFarIncatern
Approach enemy... f+2+4;SphericalInfatuatedBoaconstrictor
Approach from left side... 1+3 (or 2+4);HonoredFarIncatern
Approach from right side... 1+3 (or 2+4);SphericalInfatuatedBoaconstrictor
Approach from behind... 1+3 (or 2+4);SecretShabbyIndianskimmer
INT 1+3;PlushWholeApisdorsatalaboriosa
