template;https://gfycat.com/ifr/{url}
1, 2;AdorableEnlightenedArgusfish
1, 2, 1, 2;WhimsicalTotalFerret
1, 2, 1, 4;AltruisticAcrobaticAcornweevil
1, 2, 3;IllegalEmptyHoneybadger
1, 2, 4;RealSoreHochstettersfrog
1, 4;HatefulEarnestFoxhound
1, 4, 1;JovialAridLamprey
1, 2, 1+2;WhimsicalTotalFerret
1, 2, 1, 2, 1+2;CreamyAnnualCollardlizard
2, 1;HarmlessSlipperyGrizzlybear
2, 1, 4;SilentFrequentBlackwidowspider
2, 3;OrnateShyKiskadee
2, 4;RigidAfraidApatosaur
2, 1+2;SoreNecessaryFoxterrier
3, 3, 2;ShorttermHandmadeCuscus
3, 3, 4, 3;HardtofindVelvetyFluke
3, 4;FrankSociableGraywolf
3, d;DisfiguredArtisticKid
3, d+1+2;ElectricFluidCow
4, 3;ImmaterialCreamyEthiopianwolf
4, 3, 2;AmbitiousHideousBlackmamba
4, 3, 4, 3;UnhealthyTatteredHyena
4, u;SingleBountifulHartebeest
4, u+1+2;MealyLightheartedAsianpiedstarling
1+4;HatefulEarnestFoxhound
uf+1;LimitedJampackedAmericanlobster
uf+2, 1;FlawlessUnfinishedCrocodile
uf+3;FlakyHastyBoubou
uf+4;EverlastingHomelyBuckeyebutterfly
uf+4, 3, 4;BlindEmbellishedHairstreak
uf, N, D+3, 2;FrequentAstonishingDanishswedishfarmdog
uf, N, D+3, 4, 3;ImaginativeMassiveKilldeer
UF+4;EverlastingHomelyBuckeyebutterfly
f+2, 1, 2;SameRequiredFairybluebird
f+2, 1, 4;UnsightlyWatchfulAvocet
f+3;PerkyMistyCirriped
f+4, 3, 3;RareBonyHairstreakbutterfly
f+4, 4;SilkyInexperiencedAngelfish
f, F+2;SmoothTepidGreathornedowl
f, F+3;EnragedMisguidedBushbaby
f, F+4 (close);ConsciousScratchyAmericanbulldog
f, F+1+2;BrightFlawedBoa
f, f, f+3  (far) (or uf+3+4) (or WR+3);SpecificPositiveEft
f, f, f+1+2;SameRecklessCats
df+1, 2;AbandonedAmbitiousAtlanticbluetang
df+3, 1, 2;GreatCornyIraniangroundjay
df+3, 1, 2, 1+2;CautiousSafeIndianhare
df+3, 2, F (or DF);WickedPowerfulKakarikis
df+3, 2, 1, 4;GreedyCrispEgg
df+3, 2, 3;CavernousDopeyEuropeanfiresalamander
df+3, 2, 4;SecondaryHarshIslandcanary
df+3, 2, d+3, 2;SmugAdorableFairybluebird
df+3, 2, d+3, 4, 3;QuerulousApprehensiveBuzzard
df+3, 3, 3, 4;LightVastLabradorretriever
df+3, 4, 4;ComposedFlickeringAztecant
df+3, 4, 3+4;LongThinGraywolf
df+3, f+4;SilentTightEsok
df+1+2;AbandonedAmbitiousAtlanticbluetang
d+2, 3;SameAngelicCavy
d+3, 2;ElderlyLeadingFurseal
d+3, 4, 3;VelvetyColdBassethound
d+4, 1;MatureBewitchedIrishredandwhitesetter
d, DF+4;SilverDentalLamb
db+2;MiserlyDependableBluejay
db+3;ShockingCreamyAnnelida
db+4;EnlightenedPresentAustraliankelpie
db+4, 3;TerrificFreeAcornbarnacle
db+3+4;LeftDelayedIndigowingedparrot
db+1+2, u, u;MildNimbleCirriped
b+1;UnderstatedSlowBlacklab
b+1+2;EducatedEcstaticBlackandtancoonhound
b+1+4;TartFlawedIzuthrush
b+2, 2, 2;KindInconsequentialKilldeer
b+3, 4;QuestionableGoldenGlassfrog
b+4;GroundedLastBubblefish
qcf+1;FrayedPrestigiousGaur
qcf+2;CreativeJadedCusimanse
qcf+3;BaggyEasygoingBasenji
qcf+4, 2, 3;PracticalSoulfulAustraliankestrel
d, db, B+4;IncompleteGrayKittiwake
FC+1, 2, 4;PalatableMiserableAmericangoldfinch
FC+1, 4;UnlinedJoyousDutchsmoushond
FC+2, 4;GeneralShortGarpike
f, f, F+3, 4 (or WR+3, 4);HappyPoliticalCutworm
WS+1, 1+2;VerifiableHiddenHairstreak
WS+1, 4;GaseousAlarmingArmadillo
WS+2;UnevenFirsthandAnkolewatusi
WS+3;RemoteAlienatedDodo
WS+4, 3;RequiredDirectIberianemeraldlizard
WS+b+1;LightheartedNiftyGull
SS+1;TestyMassiveLiger
SS+1+2;SpecificFrayedGlowworm
SS+1, F;TallVioletKouprey
SS+1, B;CompleteFineGonolek
SS+1, 2;SpecificFrayedGlowworm
SS+2;InfantileLikableFrog
SS+4;PortlyThatHapuku
Opponent down d+3+4;DirectMiserlyBlackrhino
f+1+2 (or WS+1+2);DenseRepentantGemsbok
in rage d+1+2;LawfulIncredibleGaur
in rage f+2+3, DF;IckyLimpingAuklet
db+1+2 (u, u to cancel);SardonicNastyLemming
db, d, df, f, N, DB+2+3;SaltyBlackandwhiteAmazonparrot
Approach enemy... 1+3;OblongRecklessEnglishpointer
Approach enemy... 2+4;CanineBabyishBluegill
Approach enemy... uf+1+2;FeminineWillingCub
Approach enemy... f+1+3;OblongRecklessEnglishpointer
Approach enemy... f+2+4;CanineBabyishBluegill
Approach enemy... df, df+1;GivingVainEuropeanpolecat
Approach enemy... df+1+3;IllSolidIlsamochadegu
Approach enemy... df+2+4;DimwittedWaryGalah
Approach enemy... qcf+1+2;AnimatedUnfinishedHairstreakbutterfly
Approach enemy... qcf+3+4;DismalGiftedBluetickcoonhound
Approach enemy... QCB+1+4;CluelessPossibleAmericankestrel
Approach enemy... 2+4, 1, 2, 1;ShabbyRecentBluemorphobutterfly
(During Shoulder Through Buster) 2, 1, 3;BigImmediateAlabamamapturtle
Approach from left side... 1+3 (or 2+4);SmallDrearyEyas
Approach from right side... 1+3 (or 2+4);UnlinedInfatuatedAvians
Approach from behind... 1+3 (or 2+4);SilkyBossyAtlanticspadefish
(During Backhand Slap) 3, 4, 3, 1+2;PointedOpenItalianbrownbear
(During Backhand Slap) 2, 3, 4, 2, 2;LeanAnyBullmastiff
(During Triple Slaps) 1, 3+4, 1, 2, 1+2;PertinentBlushingBarasinga
(During Triple Slaps) 1, 2, 4, 3, 1+2+3;UnlinedMarvelousArrowworm
(During Betrayer) 2, 1, 1+2, 1+2+3;SickCloseEidolonhelvum
(During Betrayer) (or Backhand Slap) 1, 3, 2, 1;AthleticDismalDragonfly
(During Twisted Nightmare) 1, 3+4, 1, 2, 1+2;PertinentBlushingBarasinga
(During Twisted Nightmare) 1, 2, 4, 3, 1+2+3;UnlinedMarvelousArrowworm
(During Arm Break) 3, 1, 4, 1+2, 1+2;KaleidoscopicDifferentGull
(During Arm Break) 2, 1, 3, 4, 1+2;VengefulPortlyBison
(During Crab Hold) 3+4, 3, 4, 1+2;MisguidedLazyBlackandtancoonhound
(During Crab Hold) 3+4, 4, 2, 1+2;LivelyPoshCougar
(During Heel Hold) 3, 1, 4, 2+4;GreenGratefulAfricanwilddog
(During Heel Hold) 1, 3, 2+4, 3+4, 1+2;TestyColossalDrake
Time with enemy attack... b+1+3 (or b+2+4);DeficientOpulentKilldeer
