template;https://gfycat.com/ifr/{url}
1, 1;ScornfulDeficientLeafhopper
1, 1, 2;SpanishIncredibleAngora
1, 1, d+1;RewardingVapidJaguarundi
1, 2;DeliciousGiantCanvasback
1, d+1;ShinyCluelessLemming
1, 2, 1;DefenselessGlumAntarcticfurseal
1, 2, 1, 2;BossyFlippantInexpectatumpleco
1, 2, 1, d+2;NimbleNaiveAmericancrow
2, 1, 2;FeistyUltimateAntbear
uf+1;KindlyFavorableCaecilian
uf+2;LittleImperfectAmericanbittern
uf+3, 2;FatDistantElephant
uf+4;QuarrelsomePoliticalKiskadee
f+2, 1;UnsungUnhealthyFlickertailsquirrel
f+2, 1~2;FewHighlevelDoctorfish
f+1+2, 2;OpulentWarlikeCony
f, F+2;FewLegitimateBarnowl
f, f, f+2 (or WR+2);MaleCircularBeetle
df+1;PeskyCreamyAegeancat
df+1, 2;EnormousMilkyArgentineruddyduck
df+1, 2~1;SkeletalRequiredBluetickcoonhound
df+1, 2~2;CompassionateBraveCivet
df+1, 2~f+1+2;GrimyMinorBarnacle
df+2;MadeupMajorAmericanwarmblood
df+1+2;EnormousMilkyArgentineruddyduck
d+1;AltruisticFrighteningBelugawhale
D+2, 1, 2;SlimDopeyHochstettersfrog
d+2~n~1, 2;FrightenedFloweryGreatdane
d+2~n~1, f+2;AromaticVelvetyIntermediateegret
db+2 (or FC+db+2);YellowishMintyGnu
db+3, 2;WildUglyGordonsetter
b+1;ScalyOrderlyGlowworm
b+1, 2;LegalIdealisticLice
b+1, d+2, 1;CandidSpiffyDowitcher
b+2;FluffyFlashyBabirusa
qcf+1;TediousScalyAmericanbulldog
qcf+2;LegitimateMadeupKakarikis
FC+df+2;RespectfulDapperAvocet
WR+1;HandyPettyDromedary
WS+1, 1;WhimsicalReliableHornedviper
WS+1, 2;PlushMilkyBoar
WS+2;ImperturbableDefensiveChicken
Opponent down d+1+2;BreakableUnkemptElephant
f+3 (or f+4, FC+df+3, FC+df+4);HeartyFabulousFruitfly
DCK 1;RashHarmfulGalapagosmockingbird
DCK 2;HardOldKusimanse
DCK f+2;SickShowyBighorn
DCK 1+2;DifferentSolidGnu
f+3, F (or f+4, F);FaintTenderCranefly
DCK f+2, f+3;SickShowyBighorn
EXT DCK 1;ClutteredMistyCheetah
EXT DCK 2;PointedSelfassuredBlacklemur
EXT DCK f+2;ElasticQuerulousFalcon
3 (or FC+3);LonelyMediumGalapagosalbatross
4 (or FC+4);AptMajorKentrosaurus
DCK f+2, 3 (or 4);SickShowyBighorn
LWV 1, 1;DependableZigzagKakapo
LWV 1, f+1, 1;IgnorantIdealAmericancicada
LWV 2, 1;PrestigiousSlightAmurratsnake
RWV 1, 2;CandidWildAnteater
RWV 2;AnyExcitableAnkolewatusi
b+3+4;BriefQuarterlyKentrosaurus
1, 1, d+1, B;GivingYoungFawn
1, d+1, B;FatalFeminineLemming
1, 2, 1, B;HandyValidHectorsdolphin
2, 1, B;ScentedRepentantFreshwatereel
f+2, 1, B;MiserlyEmbarrassedHoverfly
df+1, 2~1, B;SoreHarmfulAppaloosa
b+1, B;InfiniteRepulsiveBlowfish
qcf+1, B;SourGlaringEasternnewt
LWV 1, B;InformalMammothIchidna
LWV 1, f+1, 1, B;DistinctSneakyHyracotherium
PAB b+1, 1, 2, 1, B;MeekDarlingIcefish
FLK 1, 1, 1, 2;DescriptiveLazyIndianabat
FLK 1, f+1;EvilTallAfricanmolesnake
FLK 1, d+1;RegularOrderlyGoldenretriever
FLK 2;RingedDecimalAtlanticridleyturtle
b+3 (or b+4);HeavenlyPrestigiousBull
SWY 1;MiserableFreshFishingcat
SWY 2;DefiniteImpureArgali
f+3+4;FittingCircularBarnowl
1, 2, 1, F;DamagedPastelJaguar
2, 1, F;CapitalUnitedHedgehog
f+2, 1, F;BitterBelatedEelelephant
qcf+2, F;BitesizedLikableFrogmouth
b+1, 2, F;OldAnchoredFieldspaniel
b+1, d+2, F;DaringHoarseCapybara
LWV 2, F;CriminalElasticHairstreakbutterfly
RWV 1, F;SecondaryHandmadeComet
ALB U (or D, F);HugeSelfreliantAgouti
ALB F;FlatAdolescentEuropeanpolecat
PAB 1, 2;InfatuatedLankyCollie
PAB 1, 2, 1;WhimsicalFragrantIbizanhound
PAB 2;SlimyRedAruanas
PAB f+2, 1;AjarMerryAllensbigearedbat
PAB f+1+2;DistantReasonableAfricanporcupine
PAB df+1, 1, 2, 1;TatteredDefiantDegus
PAB df+1, 2;GrouchyFlickeringAtlasmoth
PAB df+2;PeacefulLeadingDeermouse
PAB d+1;SelfassuredJaggedAmericanblackvulture
PAB d+2;FrighteningMelodicGrebe
PAB b+1, 1, 2, 1;IllinformedAltruisticGrayreefshark
PAB b+2;BetterWindyAmethystgemclam
PAB uf+2;LittleDelayedAcornwoodpecker
3+4;IllustriousDeliciousJaguar
ALB 2;TediousArcticIbex
ALB d+2;GrouchyEllipticalHamadryas
ALB U;LongShrillBrontosaurus
ALB D;ShortPettyGrasshopper
ALB U (or D+1);UnsungFamiliarAsianpiedstarling
ALB U (or D, d+1);MarriedBronzeClumber
db+1+2;CommonSpiritedAmericangoldfinch
FLK b+2;ScholarlyJubilantBrownbutterfly
in rage 1+2 (or WS+1+2);ComfortableSecondaryLeafhopper
in rage df+3+4, 1+2;CalculatingPalatableHairstreakbutterfly
in rage df+2+3;WellwornIgnorantChick
qcb, f+2+3;WelllitAngryAfricanpiedkingfisher
Approach enemy... 1+3;LeadingLoneIndianabat
Approach enemy... 2+4;MatureEachGiraffe
Approach enemy... f+1+3;LeadingLoneIndianabat
Approach enemy... f+2+4;MatureEachGiraffe
Approach enemy... f, F+1+2;GranularSlipperyEkaltadeta
Approach enemy... qcb+2+4;FluidFrayedCentipede
Approach from left side... 1+3 or 2+4;ClearHotInganue
Approach from right side...  1+3 or 2+4;KaleidoscopicImperturbableKawala
Approach from behind... 1+3 or 2+4;HandmadeTalkativeCommongonolek
FLK 1+2;DirectTatteredFairybluebird
PAB 1+2;InfatuatedLankyCollie
SWY 1+2;VacantFloweryCob
2+3+4;EasySnarlingChital
Time with enemy punch... b+1+2;KnobbyFeistyIslandwhistler
