Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage b+1+2 or WS+b+1+2 or AOP b+1+2;m;55;20 pc8~17;-27;KND;KND;Rage art
in rage RDS d+3, 3+4;l, m, (Special);7,10;js11~;-4~-3;KND;KND;Rage drive, Tail spin
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,8;10;-1;+5;+5;
1, 2, 1;h, h, m;7,8,20;10;-9~-8;KND;KND;
1, D+2;h, m;7,10;10;-4~-1;+7~+10;+9~+12;
1, d+2;h, m(RDS);7,10;10b;-3~0;+8~+11;+10~+13;
1, d+2, 1+2;h, m, m;7,10,24;10;-12~-10;CS;CS;
2;h;8;10;-2;+6;+6;
2, 1;h, m(RDS);8,10;10b;-4;+7;+7;
2, D/F+1;h, m;8,10;10;-4;+7;+7;
3;h;17;14~15;-11~-10;KND;KND;Tail spin
4;h;15;11;-9;+8;Launch (JG?);
4~3;m (TJ);23;23~25s (24~) js10~;-1~+1s;+3~+5s;KND;
4~3, d+1+2;m (TJ), (Special);23;23~25 (24~) js10~;0~+2s;+4~+6s;KND;
1+2;m;24;20~21;-7~-6;CS;CS;
3+4 or u+3+4;(Special)(Absorbs 1 h/m hit);;2~10;;(+5b);;
d+3+4;(Special)(Absorbs 1 h/m hit);;2~10;;(+5b);;
f+2;m;12;16~17;-7~-6;+4~+5;+4~+5;
f+2, 1;m, h;12,14;16~17;-3;+8;+10;
f+2, 1, 4;m, h, m;12,14,20;16~17;-9~-8;KND;Tail spin;Tail spin
f+3;m;14;16~18;-9~-7;+2~+4;+2~+4;
f+3, 1;m, m(RDS);14,8;16~18;-4~-2;+7~+9;+7~+9;
f+3, 1, 1+2;m, m, mm;14,8,6,20;16~18;-12~-11;+7~+8s;+7~+8s;
f+4;h;23;19~20;+1~+2;KND;KND;Tail spin, Homing
f+1+2;m;25;12~13;-16~-15;KND;KND;
f+3+4;(Special);;s;;;;
f+3+4, 3+4;(Special), mmm (TJ);8,8,14;20~21, 28~29, 37~40s (46~) js23~;+7~+10 (+14~+17g wc);KND;KND;Wall crush
f+3+4, 3+4 (second and third hit miss);(Special), m;8;20~21 (46~);-46;-35;-35;
f+3+4, d+1+2;(Special), (AOP);;18~19 (44~);;;;
d/f+1;m (TC)(RDS);13;14b cs6~13;-2;+9;+9;
D/F+1;m (TC);13;14 cs6~13;-4;+7;+7;
d/f+2;m;15;15;-6;+5a;+5a;
d/f+2~1;mm;8,12;15~16, 22~23 (15~16);-13~-12;JG;JG;
d/f+2~1 (Second hit only);m;12;22~23;-12~-11;Launch (JG?);Launch (JG?);
d/f+3;h;23;23~24 pc8~22;-8~-7;KND;KND;Power crush
d/f+4;m;12;12;-4;+7;+7;
d+1;mmm;7,7,7;17~19, 21~23, 26~32s;-9~-3;+2~+8s;+2~+8s;
d+1 (Third hit miss, Second hit only);mm;7,7;17~19, 21~23s;-14~-12;-3~-1s;-3~-1s;
D+1;mmm, (AOP);7,7,7;17~18, 21~23, 26~32s;-13~-7;-2~+4s;-2~+4s;
D+1 (Third hit miss, Second hit only);mm, (Special);7,7;17~18, 21~23a;-18~-16;-7~-5s;-7~-5s;
d+3;l (TC);12;14s cs6~;-12;-3;+1;
d+3, 4;l (TC), h;12,21;14 6~;0~+1;KND;KND;
d/b+1;m;25;18;-9;KND;KND;
d/b+1 (clean hit);m;37;18;-9;KND;KND;
d/b+2;l(RDS);13;18 cs6~;-8(RDS);+5s;+18g;
d/b+3;l(!);0;15;+2;+2s;+12s;
d/b+4;l;14;18;-12;+7s;KND;
b+1;m(RDS);10;8~13(b);;+1;+1;
B+1;m;10;8~13;-12~-7;-1~+4;-1~+4;
b+2;m(RDS);13;15~16;-6~-5;+5~+6;+5~+6;Homing
b+2, 2;m, l(RDS);13,15;15~16b;-8~-6;+3~+5;KND;
b+3;h(RDS);22;18~19b;+3~+4;+8~+9s;KND;
b+4;m;14;13~15;-11~-9;0~+2;0~+2;
b+4, 4;m, h;14,17;13~15;-9~-8;+14kg;+14kg;Tail spin
u/b+3+4;m (TJ);23;22~24 js18~;-17~-15;Launch (JG?);Launch (JG?);
u/b+3+4, d+1+2;m (TJ), (AOP);23;22~24 js18~;-19~-17;Launch (JG?);Launch (JG?);
u+1+2;mm;5,5;16~18, 22~24s;-11~-9;0~+2s;0~+2s;
u+1+2, 2;mm, m;5,5,12;16~18, 22~24;-12;-1;-1;
u+1+2, 2, 1;mm, m, m;5,5,12,20;16~18, 22~24;-12~-11;KND;KND;
u+1+2, 2, 1, b (Cancel);mm, m, (RDS);5,5,12;16~18, 22~24b;-19;-8;-8;
u+1+2, 3+4;mm;5,5;16~18, 22~24;-16~-14;-5~-3s;-5~-3s;
u or u/f+1;l (TJ), (AOP);15;33~35 js9~23;-7~-5;+10~+12s;+10~+12s;
u/b+3;m;11;16~17 js9~;-13~-12;-1~0;-1~0;
u+3;m;15;16~17 js9~;-13~-12;KND;Launch (JG?);
u/f+3;m;13;16~17 js9~;-13~-12;Launch (JG?);Launch (JG?);
u+4;m (TJ);20;23~26 js9~;-7~-4;+4~+7s;KND (+4~+7s);
u/f+4;m (TJ);23;23~26 js9~;-3~0;+8~+11s;KND;
u/f+4, D;m (TJ);23;23~26s js9~;-7~-4;+4~+7s;KND;
u/f+4, d+1+2;m (TJ), (AOP);23;23~26 js9~;-9~-6;+2~+5s;KND;
u/f+1+2;m (TJ);23;26~27 js9~;+3~+4s;+7~+8s;KND;
u/f+1+2, B;m (TJ)(RDS);23;26~27b js9~;+3~+4s;+7~+8s;KND;
u/f+3+4;mmm (RDS)(TJ);8,10,12;16~17 ,27~28, 36~37(b) js9~;-3~-2;KND;KND;
u/f+3+4 (Third hit miss);mm (RDS)(TJ);8,10;16~17 ,27~28(b) js9~;-21~-20;;;
f, F+1;m;19;15(16~);-11;0s;0s;
f, F+1, D;m, (AOP);19;15(16~);-5;+6s;+6s;
f, F+1, 3;m, h;19,20;15(16~);-1~0;KND;KND;
f, F+1, 4;m, m;19,20;15(16~);-12~-11;KND;KND;
f, F+2;m;12;15(16~);-5;+6;+6;
f, F+2, 1;m, m;12,20;15(16~);-12~-11;KND;KND;
f, F+2, 1, b (Cancel);m, (RDS);12;15b(16~);-19;-8;-8;
