template;https://gfycat.com/ifr/{url}
1, 1;LividEvilJabiru
2, 1;GregariousScaredAsianelephant
2, 2;MelodicDefensiveHatchetfish
2, 3;DearNimbleAnglerfish
2, d+3;DependableComposedGuppy
3~4;BruisedNiftyGelding
4, 4, 4;DisgustingSkinnyGroundhog
4~3;LikableTightFluke
1+2+3;AcademicBabyishFox
1+4 (WS+1+4);LegitimateMajorHellbender
u+3+4;HelplessSplendidBlueshark
uf+1;BreakableSaltyHummingbird
uf+2;ColorfulCarefulAcornwoodpecker
uf+3;VictoriousWarlikeBarnowl
uf+4;VacantScratchyBlacklab
uf+3+4;MatureAdvancedHornshark
uf+3+4, 3+4;ArcticNegligibleGreatwhiteshark
uf+3+4, u+3+4;WateryAccomplishedGreendarnerdragonfly
uf+3+4, u+3+4;WateryAccomplishedGreendarnerdragonfly
uf+3+4, b+1, 4, d+1;InsistentEmbellishedErne
uf+3+4, b+1, 3+4;AdorableFatHarrier
f+2 or BT 2;DiscreteWeeklyLarva
f+2, DB+2, 2, 2, 2, 2, 2;FastEmptyLadybird
f+3, 3;FatalRepulsiveAmericancurl
f+4;HugeDimpledJenny
f+1+2;ElderlyCommonIbizanhound
f, F+2;DisastrousThatCoati
f, F+2:2;FlawedSharpCoati
f, F+3;GlitteringColorlessArcherfish
f, F+3+4;AridSereneIndianabat
f, F+3+4, 1+2, 3+4;AdmirableAppropriateDouglasfirbarkbeetle
f, f, f+3 (or WR+3);BoringGrayIndigowingedparrot
f, N, d, df+1;CapitalBowedArmedcrab
f, N, d, df+2;FearlessShyGerbil
df+1, 2;BleakRapidAbyssiniancat
df+1, 4;CrazySameIguana
df+2;ZigzagMeaslyFantail
df+3, 1;UnhealthyWarpedBanteng
df+1+2;BleakRapidAbyssiniancat
df+1+2, 2;DetailedLargeAlbino
d+1;RedBruisedHackee
d+2, 1;DirectRedAfricangoldencat
d+2, 2, 1;BogusForcefulAfricanpiedkingfisher
d+2, 2, d+1;CharmingLimitedGoldenmantledgroundsquirrel
d+2, 2, 2+3;DimpledForthrightArmedcrab
db+1, 1;FrayedNeatCondor
DB+2, 2, 2, 2, 2, 2;ExcitableUnhealthyGartersnake
DB+3, 3, 3, 3, 3, 3;WhimsicalOpenAmericanlobster
(During Manji Spin Low Kicks) 4;SharpDistantIcelandgull
db+4;SaltyObviousEmperorpenguin
b+2, 1;QualifiedFlawlessFoxterrier
b+2, 2;FrequentHarmfulChrysomelid
FC+df+4;EmbellishedBrownAmericancrow
SS+1;AffectionateHappyAstrangiacoral
SS+2;VictoriousDetailedKob
SS+4;IcyReasonableArabianoryx
WS+1, 1, 1, 1;IlliterateCrazyBlowfish
WS+1, 2;DefenselessBlondInchworm
