template;https://gfycat.com/ifr/{url}
1, 2;FocusedSkinnyFlea
2, 2, 1+2;ClosedDiscreteBurro
1+2, 4, 4;VeneratedBriskCockroach
f+2, 3, 4;ParallelWideAlaskanhusky
f+4;TintedPlushAffenpinscher
f+1+2;CalculatingDecentIbisbill
df+1, 2, 1;InnocentUnawareAmericanriverotter
df+1, 4;IcyNervousJaeger
df+2;CarefreeDarlingDiscus
df+3, 4;FondScratchyAnemoneshrimp
df+3, d+4;FragrantHappygoluckyGreatdane
df+4, 1;GregariousBigheartedDormouse
df+4, 2;OptimalGranularBeaver
df+1+2;NaughtyChillyCoelacanth
d+1, 1;AchingMeekHarpyeagle
d+2, 4, 3;TimelyPointlessGoshawk
d+3;AdorableFormalIberianmidwifetoad
d+4, 3;BlondUncomfortableDrongo
db+2;TautLinearFairyfly
db+4, 2;ElegantAssuredBlackbird
db+1+2, 1+2;NewDeficientBat
b+1;MenacingGreatFairybluebird
b+1:1+2;MenacingGreatFairybluebird
b+2;DearImmenseAtlanticbluetang
b+4, 4;UnsightlyRespectfulFattaileddunnart
b+1+2;MajesticEasyGroundhog
uf+1;BrightFlippantJoey
uf+3;GoodDisfiguredAphid
f, F+2;UnsteadySelfassuredBlackpanther
f, F+3, 1;IncompleteIlliterateGuineapig
f, F+4;RegularThoughtfulCrossbill
f, F+3+4;FineMediumArrowworm
f, f, f+3;LeafyMeatyAmericanavocet
FC+df+3;AllNaiveBullmastiff
SS+1+2;EducatedGranularAiredale
WR+4;ClassicFlawedCarpenterant
WS+1, 2;IcyLikableChinesecrocodilelizard
WS+2;HomelyTightAruanas
d+3+4;SilentFearfulArgali
2, 1, 3;MealySinfulGuppy
SCR d+3+4;ParallelIncompleteBird
TRT d+1+2;MenacingNeglectedGerbil
MNT 2, 1, 4;SmoothBonyKid
MNT 3, 4, d+4;ExcitableBlondHammerheadshark
MNT 4, 3;NewMistyHogget
MNT 2+3;EveryHardtofindAztecant
MNT df+3;MessyBeneficialHalicore
MNT d+3, 1;SimilarRipeAmethystinepython
Approach enemy... 2+4;CoarseLightAmericanbadger
Approach enemy... f+2+4;CoarseLightAmericanbadger
MNT 1;DiscreteIdolizedAustralianshelduck
MNT 3, 4, 4;NeglectedTanEmperorpenguin
MNT df+2;LargeDearGlassfrog
MNT d+1, 4;UnfoldedBriskBream
MNT d+4;MiniatureClumsyAfricanmolesnake
MNT uf+3;BoldSnoopyFirefly
3+4;ElementaryUnkemptBrahmanbull
1, 2, 3;SplendidDistortedIndiancow
1, 3;ThunderousShockingEnglishpointer
f+3;PracticalIndelibleFlies
db+3;AdmirableUnsteadyIcterinewarbler
MNT 1, 3;DizzyAntiqueAmethystinepython
SCR 1;SnoopyNeglectedDikkops
SCR 3, f+3;PlaintiveFatherlyAoudad
SCR 4;BlackSecondaryAurochs
SCR d+3, 3;SmugColossalIndianringneckparakeet
SCR d+3, d+3;HardCloudyFattaileddunnart
SCR 2, 2;AlienatedCleverKentrosaurus
SCR 3, 3, 4;SpecificFocusedGelding
SCR 1+2;SpotlessHeavyGecko
SCR 3+4;FlippantGraveCockatiel
SCR df+3;MediumOrneryFritillarybutterfly
SCR df+3, 3;EminentDizzyBooby
SCR df+4;EmotionalUniqueHammerheadshark
SCR d+4;LoathsomeTerribleArcherfish
d+1+2;WellgroomedGregariousFishingcat
1, 4;CommonPinkCusimanse
uf+1+2;JubilantThriftyAntarcticgiantpetrel
TRT 1;ConcernedOrangeAfricanpiedkingfisher
TRT 3;UnconsciousPleasantAurochs
TRT 2;SmallWelloffGroundbeetle
TRT 4, 3;VastGroundedAfricanwildcat
TRT 1+2;AncientUnfitHornet
b+3;WarlikeRashBat
MNT 1+2;NewMistyHogget
in rage df+3+4;CreamyFragrantGraywolf
in rage f+2+3;AffectionateFamiliarArawana
b+2+3;WatchfulDeterminedHammerheadshark
Approach enemy... 1+3;RealisticTestyGallowaycow
Approach enemy... f+1+3;RealisticTestyGallowaycow
Approach from left side... 1+3 (or 2+4);AcademicAdeptAardwolf
Approach from right side... 1+3 (or 2+4);SecondAnguishedLadybug
Approach from behind... 1+3 (or 2+4);PessimisticJoyousKoalabear
Approach enemy... f, F+1+2;SmartDigitalAchillestang
Time with enemy attack... b+1+3 (or b+2+4);ShinyCheeryFirecrest
