Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
In rage d/f+3+4;m (throw);10,45;20 pc8~;-22;throw;throw;Rage Art
In Rage f+2+3;m (throw);10,20;14;+19g;throw;throw;Rage Drive
1;h;7;10;1;8;8;
1, 2;h, h;7,9;;-5;4;4;
1, 2, 3;h, h, h (SCR);7,9,12;;0;9;9;
1, 2, 3, B;h, h, h;7,9,12;;-9;0;0;
1, 3;h, h (SCR);7,14;;-4;5;5;
1, 3, B;h, h;7,14;;-8;1;1;
1, 4;h, m (TRT);7,17;;-5;2;KND;
2;h;8;10;-7;-1;-1;
2, 1;h, m;8,9;10;-6s;+2s;+2s;
2, 1, 3;h, m, l (MNT);8,9,17;10;-17;KND;KND;
2, 1, 3, D;h, m (MNT);8,9;10;-17s;-9s;-9s;
2, 2;h, m;8,12;10;-9;2;7;
2, 2, 1+2;h, m, m*3;8,12,7,11,20;10;-9s;+4s;+4s;
3;h (SCR);17;13;0;9;9;
3, B;h;17;13;-8;1;1;
4;h;19;14;-6;-1;KND;
1+2;m;20;16;-12;4;KND;
1+2, 4;m, m;20,12;16;-10;1;6;
1+2, 4, 4;m, m, m;20,12,26;16;-11;KND;KND;Tail spin
f+2;m;17;19;-18;-6;KND;
f+2, 3;m, h (SCR);17,12;19;0;9;9;
f+2, 3, B;m, h;17,12;19;-9;0;0;
f+2, 3, 4;m, h, m;17,12,25;19;-18;KND;KND;Wall bounce
f+3;h (SCR);28;21;3;KND;KND;Tail spin
f+3, B;h;28;21;-1;KND;KND;Tail spin
f+4;h;13;14;-6;KND;KND;Tail spin
f+1+2;m;24;19;-9;KND;KND;
d/f+1;m;10;13;-5;7;7;
d/f+1, 2;m, m;11,16;13;-13;3;3;
d/f+1, 2, 1;m, m, m;11,16,20;13;-13;KND;KND;
d/f+1, 4;m, h;11,18;13;-6;+12k;+12k;
d/f+2;m;13;16;-12;Launch;Launch;
d/f+3;m (SCR);15;14;-5;4;4;
d/f+3, B;m;15;14;-10;-1;-1;
d/f+3, 4;m, h;15,17;14;-6;KND;KND;Tail spin
d/f+3, d+4;m, l (TC);15, 15;14;-14;+1s;+1s;
d/f+4;m;14;14;-14;3;3;
d/f+4, 1;m, m;14,22;14;-13s;KND;KND;
d/f+4, 1, D;m (Special);14;14;-18;-2;-2;
d/f+4, 2;m, m;14,20;14;-13;KND;KND;
d/f+1+2;m (TC);20 cs6;36;-9;KND;KND;Homing
d+1;m;11;12;-16;-8s;-3s;
d+1, 1;m, m;11,17;12;-12;KND;CS;
d+2;m;17;19;-16s;-3s;KND;
d+2, 4;m, m (TJ) (MNT);17,13;19;-22;-4;-4s;
d+2, 4, D;m, m (TJ) (TRT);17,13;19;-22;-4;-4s;
d+2, 4, 3;m, m, m (TJ);17,13,15;19;-13;KND;KND;
d+3;l (TC);14;22 cs6;-15;+2s;KND;
d+3, D;l (TC) (MNT);14;22 cs6;-1;+4s;KND;
d+4;l;8;17;-19;-3;7;
d+4, 3;l, h (TJ);8,10;17;-6;JG;JG;
d/b+1;sm (TC);5;10 cs4;-5;6;6;
d/b+2;m;17;13;-9;3;KND;
d/b+3;l (SCR);13;18;-8;3;3;
d/b+3, B;l;15;18;-11;0;0;
d/b+4;l (TC);14;21 cs6;-13;-4;3;
d/b+4, D;l (TC) (MNT);14;21 cs6;-14;-5;2;
d/b+4, 2;l, m;14,17;21;-13;Launch;Launch;
d/b+1+2;l (TC) (MNT);17;28 cs9;-16;KND;KND;
d/b+1+2, 1+2;l (TC), m;17,14;28;-14;KND;KND;
b+1;m;14;18;-14;2;2;
b+1, when hit 1+2;m;14,36;18;;Throw;Throw;
b+2;h;22;22;-5;KND;Launch;Homing
b+3;m;23;24 pc8;-9s;-5s;-5s;Power Crush
b+3, D;m (MNT);23;24 pc8;-8s;-4s;-4s;Power Cursh
b+4;m;14;22;-9;4;4;
b+4, 4;m, m;14,20;22;-14;KND;KND;
b+1+2;l (TC);12;16 cs7;-17;-2s;-2s;
b+2+3;m!;40;64;KND;KND;KND;
u/b or u+1;m (TJ);12;18 js9;-12;-1;-1;
u/f+1;h;19;19;4;9;9;
u/b or u or u/f+22;h;17;15;-12;+9g;+9g;
u/b+3;m (TJ);19;22 js8;-17;-6;-6;
u+3;m (TJ);25;22 js8;-8;KND;KND;
u/f+3;m (TJ);25;22 js8;-8;KND;KND;
u/b+4;m (TJ);16;17 js9;-17;-6;-6;
u+4;m (TJ);18;17 js9;-13;Launch;Launch;
