Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;Sm;15;15;-9;0;0;
3;h;14;15;-8;+3;+3;
4;h;12;14;-13;+2;+2;
b+1;h;15;14~15;-14~-13?;KND;KND?;
b+2;m;21;23;-8;+8;KND;Homing
b+3;h;14;15;-8;+3;+3;
b+4;l;15;20;-13;+1;+1;
f+1;h;7;10;+1;+8;+8;
f+2;Sm;17?;15;-9;0;0;
f+3;m;18;17;-4;+7;+7;
f+4;h;20;16-17;-5~-4;KND;KND;Tail spin, Homing
f, F+1;h;7;10(11~);+1;+8;+8;
f, F+2;m;14;16?(17?~);-13?;-1?;-1?;Wall bounce
f, F+3;m;18;17(18~);-8;+2;+2;
f, F+4;m;23;20?(~);+2;+4s;+4s;
d+1;Sm (TC);5;10;-5;+6;+6;
d+2;Sm (TC);6;12;-4;+7;+7;
d/b or d+3 (Close);l (TC)?;10;15;-11;-2;-2;
d/b or d+3 (Far);l (TC)?;6;15;-11?;-2?;-2?;
d+4;l (TC);20;17~?;-26~?;KND;KND;
d/b+1;Sm (TC);5;10;-5;+6;+6;
d/b+2;Sm (TC);6;12;-4;+7;+7;
d/b or d+3 (Close) ;l (TC)?;10;15;-11;-2;-2;
d/b or d+3 (Far) ;l (TC)?;6;15;-11?;-2?;-2?;
d/b+4;l (TC);20;17~?;-26~?;KND;KND;
FC+1;Sm (TC);5;10;-5;+6;+6;
FC+2;Sm (TC);6;12;-4;+7;+7;
FC+3 (Close);l (TC)?;10;15;-11;-2;-2;
FC+3 (Far);l (TC)?;6;15;-11?;-2?;-2?;
FC+4;l (TC);20;17~?;-26~?;KND;KND;
WS+1;h;12;13;-5;+6;+6;
WS+2;m;17;15;-15?;Launch (JG?);Launch (JG?);
WS+3;m;17;13;-10;+2;KND;
WS+4;m;10;11;-9;+2;+2;
d/f+1;m;10;13;-4;+7;+7;
d/f+2;m;10;16;-7;+3;+3;
d/f+3;m;14;12;-9;+1;+1;
d/f+4;m;24;19;-16;KND;KND;
Vertical jump 1;m (TJ);10;19(~);-;+?;;
Vertical jump 2;m (TJ);20;19(~)(~);;;;
Vertical jump 3;m (TJ);10;19(~)(~)(~);-;+?;;
Vertical jump 4;m (TJ);20;19(~)(~)(~)(~);-;+;;
Forward jump 1;m (TJ);;(~);-?;+?;+?;
Forward jump 1 (Close to ground);m (TJ);;(~);;;;
Forward jump 2;m (TJ);15;(~)(~);+3?;+14?;+14?;
Forward jump 2 (Close to ground);m (TJ);15;(~)(~)(~);+7;+17;+17;
Forward jump 3;m (TJ);;(~);;;;
Forward jump 3 (Close to ground);m (TJ);;(~);+2;+12;+12;
Forward jump 4;m (TJ);15;(~)(~);+3?;+14?;+14?;
Forward jump 4 (Close to ground);m (TJ);15;(~)(~)(~);+7;+17;+17;
Forward jump Top of jump d+3;m (TJ);14;(~)(~)(~);+4~;+s;KND;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;Sm;15;15(16~);-9;0;0;
SS+3;h;14;15(16~);-8;+3;+3;
SS+4;h;12;14(15~);-13;+2;+2;
BT 1 or 2;h;20;8;-8;+3;+3;
BT 3 or 4;h;33;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s;-2;+9;+9;
BT d+3 or 4;l;12;10s;-11;+3;+3;
