Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d/f+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage f, F+1+2;m;30;21(22~);+11~+12g;Launch;Launch;Rage drive
1;h;8;10;-2;+9;+9;
1, 1;h, m;8,15;10;-7;+4;+4;
1, 2;h, m;8,9;10;-8~-7;+3~+4a;+3~+4a;
1, 2, 3;h, m, m;8,9,24;10;-2~0;KND;KND;Tail spin
1, 2, 3, *, n (two spins);h, m, m;8,9,26;10;+6~+7;KND;KND;Tail spin
1, 2, 3, * (three spins);h, m, !;8,9,28;10;KND;KND;KND;Tail spin
1, 2, 3, B (Cancel);h, m;8,9;10;-18~-17;-7~-6a;-7~-6a;
1, 2, 4;h, m, m;8,9,20;10;-12~-11;KND;KND;
1, 3;h, l;8,10;10;-11;0;0;
1, 4;h, l (TC)(LCT);8,14;cs6~;-11~-9;0~+2;+3~+5;
2;h;9;12;-11;0;0;
2, 1;h, h;9,10;12;-3~-2;+8~+9;+8~+9;
2, 1, 1+2;h, h, hh;9,10,8,20;12;-9~-8;KND;KND;Tail spin
2, 1, d+1+2;h, h, m;9,10,23;12;-10s;+3s;JG;
2, 3;h, m (TJ);9,20;js18~;-19~-18;KND;KND;
3;m;17;14;-7;+9;+9;
3, 1;m, m?;17,17;14;-11~-10;+8;CS;
4;h;18;11;-7;+7;Launch (JG?);
3~4;l (TC);22;26~28s (27~) cs6~;-26;KND;KND;Homing
1+2;m;21;16~17;-9~-8;CS;CS;
3+4;mm (TJ);10,21;23,30~32 js5~;-6~-4;KND;KND;
3+4, (d/b, d or d/f);mm (TJ);10,21;23, 30~32s;-6~-4;KND;KND;
1+4 (First hit only);l;5;14;-19;-8;-8;
1+4;lh;5,8;14,31;-3(-19s);+9;+9;
1+4, 2;lh, h;5,8,10;14,31;-2;+9;+9;
1+4, 2, 1;lh, h, h;5,8,10,12;14,31;-2;+9;+9;
1+4, 2, 4;lh, h, m;5,8,10,23;14,31;-9;+4;KND;
