Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes;
in rage d/f+3+3;m,Throw;55;20 pc8;-22;Throw;Throw; Rage art;
in rage 3, 4~3+4;m,l,h;12,10,10;13;-12;KDN;KDN;Rage drive, Tail spin;
in rage f+3, 2, 4~3+4;m,m,l,h;19,17,10,10;17;-12;KDN;KDN;Rage drive, Tail spin;
in rage WS+2, 4~3+4;m,h,l,h;14,10,10;16;-12;KDN;KDN;Rage drive, Tail spin;
in rage 1, 2, 4, 3~3+4;h,h,h,l,h;7,8,17,10,10;10;-12;KDN;KDN;Rage drive, Tail spin;
in rage 2, 4, 3~3+4;h,h,l,h;8,17,10,10;12;-12;KDN;KDN;Rage drive, Tail spin;
in rage 4, 3~3+4;h,l,h;15,10,10;12;-12;KDN;KDN;Rage drive, Tail spin;
in rage d+3, 4, 3~1;l,h,l,h;12,17,10,10;16;-12;KDN;KDN;Rage drive, Tail spin;
in rage u/f+3+4;m (TJ),Throw;35(,4,11);15 js15;-3;Throw;Throw;Rage drive;
1;h;7;10;1;8;8;;
1, 1;h, m;7,20;10;-7;4;KDN;;
1, 2;h, h; 7,8;10;-2;5;5;;
1, 2, 1;h,h,m;7,8,15;10;-6;7;7;;
1, 2, 1, 4;h,h,m,m;7,8,15,23;10;-11;KDN;KDN;;
1, 2, 4;h,h,h ; 7,8,16;10;-9;6;KDN;;
1, 2, 4, 3;h,h,h,h;7,8,16,16;10;-7;6;6;;
1, 2, 4, 3~1; h,h,h,h;7,8,16,20;10;-4;KDN;KDN;Tail spin;
1, 2, 4, 3~4;h,h,h,m;7,8,16,20;10;-5;KDN;KDN;;
1, 2, 4, 3~4*;h,h,h,m;7,8,16,25;10;+14g;Launch;Launch;;
1, 2, 4, 4;h,h,h,l;7,8,16,18(,20);10;-16;-5;Throw;;
1, 4;h,h;7,17;10;-8;+16k;+16k;;
2;h;8;12;0;7;7;;
2, 4;h,h;8,16;12;-9;6;KDN;;
2, 4, 3;h,h,h;8,16,16;12;-7;6;6;;
2, 4, 3~1;h,h,h;8,16,20;12;-4;KDN;KDN;Tail spin;
2, 4, 3~4;h,h,m;8,16,20;12;-5;KDN;KDN;;
2, 4, 3~4*;h,h,m;8,16,25;12;+14g;Launch;Launch;;
2, 4, 4;h,h,l;8,16,18(,20);12;-16;-5;Throw;;
3;m;11;13;-6;5;5;;
3, 1;m,h;11,12;13;-3;4;4;;
3, 1, 4;m,h,m;11,12,14;13;-13;3;3;;
3, 1, 4, 4;m,h,m,m;11,12,14,23;13;-14;KDN;KDN;;
3, 1, d+4;m,h,l;11,12,18;13;-16;-5;+10g;;
3, 4;m,m;11,20;13;-12;KDN;KDN;;
3, 3~4;m,m;11,25;13;-7;KDN;KDN;;
3, 3~4*m,m;11,25;14;13;KDN;KDN;;;
3, 4~4;m,h;11,25;13;6;KDN;KDN;Homing, Tail spin;
4;h;14;12;-9;6;KDN;39;
4, 3;h,h;14,16;12;-7;6;6;;
4, 3~1;h,h;14,20;12;-4Sd;KDN;KDN;Tail spin;
4, 3~4;h,m;14,20;12;-5;KDN;KDN;;
4, 3~4*h,m;14,25;+14g;12;Launch;Launch;;;
4, 4;h,l;14,18(,20);12;-16;-5;Throw;;
3+4;m;27;18;-9;KDN;KDN;;
f+2;h;13;12~13;-8~-7;+3~+4;+3~+4;;
f+2, 1;h,h;13,20;12~14;-12;KDN;KDN;;
f+3;m;18;17;-4;7;7;;
f+3, 2;m,m;18,16;17;-12;-1;-1;;
f+3, 2, 1;m,m,h;18,16,20;17;-5;KDN;KDN;;
f+3, 2, 4;m,m,m;18,16,20;17;-12;6;KDN;;
f+3, 2, 4~3;m,m,m;18,16,25;17;-7;KDN;KDN;;
f+3, 2, 4~3*;m,m,m;18,16,25;17;14;KDN;KDN;;
f+3, 2, 4~4;m,m,h;18,16,25;17;6;KDN;KDN;Homing, Tail spin;
f+1+2;m;26;21;-7;KDN;KDN;Wall bounce;
f+3+4;m;30;25 pc8;-12s;KDN;KDN;Power Crush;
d/f+1;m;10;13;-3;8;8;;
d/f+1, 2;m,h;10,17;13;-3;6;KDN;;
d/f+1, 2~1;m,m;10,20;13;-3;KDN;KDN;;
d/f+1, 4;m,m;10,23;13;-13;KDN;KDN;Homing, Tail spin;
