Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;Sm;13;15;-13;-4;-4;
3;h;10;16;-8;0;0;
4;h;17;16;-3;KND;KND;Tail spin, Homing
f+1;m;12;24;-17;-4;-4;
f+2;mh;5,10;20,32;-14;SH;SH;
f+3;h;15;23;+1;+20kg;+20kg;
f+4;m;21;19;-13;KND;CS;
d/f+1;m;10;13;-1;+7;+7;
d/f+2;m;17;18;-5;+14kg;KND;Tail spin, Homing
d/f+3;l;11;15;-13;-2;-2;
d/f+4;m;15;14;-7;+4;+4;
d/b or d+1 or FC+d/b or d+1;Sm;5;10s cs4or1~;-5;+6;+6;
d/b or d+2 or FC+2;l;13;14s;-14;-3;-3;
d/b or d+3 or FC+3;l;12;15s;-15;-5;-5;
d/b or d+4 or FC+4;l;15;17s;-31;-5;KND;
b+1;h;10;12;-7;+4;+4;
b+2;m;23;24;+2;KND;KND;
b+3;m;11;14;-9;+2;+2;
b+4;l;10;19;-13;-4;-2;
u/b or U/F;(Special);;js5~;;;;
U;(Special);;js9~;;;;
WS+1;m;12;13;-8;+3;+3;
WS+2;m;10;18;-14;-3;-3;
WS+3;h;14;15~16;-8~-7;Tail spin;Tail spin;Tail spin
WS+4;m;18;11;-5;+6;+6;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;Sm;15;15(16~);-13;-4;-4;
SS+3;l;18;19(28~);-12;+6;KND;
SS+4;h;17;16(17~);-3;KND;KND;Tail spin, Homing
BT 1 or 2;h;7;10;+1;+8;+8;
BT 3 or 4;h;17;16;-3;KND;KND;Tail spin, Homing
BT d+1 or 2;Sm;5;10s cs4or1~;-5;+6;+6;
BT d+3 or 4;l;14;17s;-31;-5;KND;
