Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;-5;+6;+6;
3;m;17;14~15;-9~-8;+2~+3;KND;
4;m;20;16~17;-9~-8;+2~+3;KND;
f+1;h;7;10;+1;+8;+8;
f+2;h;20;16~18;-9~-7;+7~+9;CS;
f+3;m;17;23;-9;+9;+9;
f+4;m;20;24;-14;KND;KND;
d/f+1;m;14;14;-6;+4;+4;
d/f+2;m;15;15;-7;+6;+6;
d/f+3;m;11;13;-9;+4;+4;
d/f+4;m;12;14;-3;+3;+9;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;13;15;-14;KND;KND;
d+3;l;15;16;-12;-1;-1;
d+4;l (TC);7;12s cs4;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);20;23~24 cs6~;-14~-13;+3~+4;KND;
d/b+3;l (TC);16;21s cs6~;-20;-4;-4;
d/b+4;l (TC);8;14s cs4~;-13;-2;+3;
b+1;m;20;20~22;-15~-13;Launch;Launch;
b+2;m;20;20;-13;KND;KND;
b+3;m;26;21~23;-9~-7;KND;KND;
b+4;m;20;20~22;-9~-7s;+1~+3s;KND;
u/b or u+1;m (TJ);16;18 js9~;-8;+3;+3;
u/f+1;m (TJ);25;23~24 js9~;-9~-8s;KND;KND;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m (TJ);13;20~22 js9~;-10~-8;+3~+5;+3~+5;
u+3;m (TJ);15;20~22 js9~;-10~-8;+3~+5;+3~+5;
u/f+3;m (TJ);17;20~22 js9~;-3~-1;+6~+8;Launch (JG?);
u/b+4;m (TJ);20;25~26 js9~;-13~-12;-1~0;-1~0;
u+4;m (TJ);20;25~26 js9~;-13~-12;KND;Launch (JG?);
u/f+4;m (TJ);20;25~26 js9~;-13~-12;Launch (JG?);Launch (JG?);
u/f, n+4;m (TJ);25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;17;11~12;-7~-6;+4~+5;+4~+5;
WS+2;m;19;15~16;-5~-4;+4~+5;+4~+5;
WS+3;m;25;18~20;-13~-11;Launch (JG?);Launch (JG?);
WS+4;m;21;13~14;-12~-11;KND;CS;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;25;28~29a (37~);-9~-8;KND;KND;Tail spin, Homing
SS+3;m;20;14~15 (15~);-9~-8;+2~+3;KND;
SS+4;m;23;16~17 (17~);-9~-8;+2~+3;KND;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
