Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;0;+9;+9;
3;h;15;14;-10;+1;+1;
4;h;21;16;-9;KND;CS;
f+1;h;7;10;+1;+8;+8;
f+2;h;13;15~16;-9~-8;+2~+3;+2~+3;
f+3;m;20;18~20;-3~-1;KND;CS;
f+4;m;20;19~20;+4~+5s;+7~+8s (+13~+14);KND;
d/f+1;m;13;13~14;-1~0;+9~+10;+9~+10;
d/f+2;m;14;15~16;-7~-6;+4~+5;Launch (JG?);
d/f+3;m;17;17;-7;+4;+4;
d/f+4;m;15;12;-6;+5;+5;
d+1;m;16;17~18;-9~-8;+2~+3;+2~+3;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3 or d/f+3+4;m;25;22~23;-7~-6s;KND;KND;
d/b or d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);23;23~25s cs8~;-18~-16;+5~+7s;+5~+7s;
d/b+3;l (TC);12;15~17s cs4~;-18~-16;-4~-2;-4~-2;
d/b or d+4 ;l (TC);7;12s cs4~;-13;-2;-2;
b+1;h;14;15~16;-11~-10;-5~-4;-5~-4;Homing
b+2;m;20;22~23;-2~-1;KND;KND;Wall bounce
b+3;h;14;14~16;-4~-2;+7~+9;+7~+9;
b+4;m;20;18~20;-9~-7;KND;KND;Homing, Tail spin
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b or u+3;m (TJ);25;21 js9~;-17;KND;KND;
u/f+3;m (TJ);17;28~29 js9~;-10~-9;KND;KND;
u/b+4;m (TJ);11;15~17 js9~;-19~-17;-8~-6;-8~-6;
u+4;m (TJ);15;15~17 js9~;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);25;24~27 js9~;-5~-2;KND;KND;Tail spin
WS+1;m;20;14~15;-14~-13;KND;KND;
WS+2;m (TC);20;18 cs1~8;-6;+11kg;CS;Tail spin
WS+3;h;28;16;-16;KND;KND;
WS+4;m;13;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;m;10;19(28~);-9;-1;-1;
SS+3;h;15;14(15~);-10;+1;+1;
SS+4;h;21;16(17~);-9;KND;CS;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
