Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;9;10;0;+8;+9;
3;h;15;14;-7;+4;+4;
4;h;14;11~12;-6~-5;+5~+6;+5~+6;
f+1;h;7;10;+1;+8;+8;
f+2;m(RFF);15;16;-2;+9;+9;
f+3;(Special);;16;;;;
f+4;h, (RFS);21;17~23;+8~+12;+19~+23g;+19~+23g;
d/f+1;m;10;13~14;0~+1;+7~+8;+7~+8;
d/f+2;m;13;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;12;22~23;-14~-13;-4~-3;-4~-3;Power crush
d/f+4;m(RFF);20;16~17;-8~-7;+8~+9;KND;Homing, Tail spin
d/f+1+2;m;12;13~14;-3~-2;+8~+9;+8~+9;
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b or d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l;7;17;-13;-2;-2;
d+4;l (TC);7;19s cs6~;-17;-6;-6;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b or d+2 ;Sm (TC);8;11s cs4~;-4;+7;+7;
d/b+3;l (TC);12;19s cs4~;-13;0;+7;
d/b+4;l;12;16;-12;-8;-1;
b+1;m;18;15;-13;0;CS (0);
b+2;h;18;13~15;-9~-7;+15~+17kg;+15~+17kg;
b+3;m;17;16~18;-19~-17;Launch (JG?);Launch (JG?);
b+4;h(RFF);20;13~14;-9~-8;+2~+3;CS;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;m (TJ);22;26 js13~;+5s;+4s;KND;
u/b+3;m;8;16~17;-14~-13;-3~-2;-3~-2;
u+3;h (TJ), (LFS);33;20 js9~;+3;uKZD;uKZD;
u/f+3;m (TJ);15;28~29 js9~;-6~-5;KND;KND;
u/b+4;m (TJ);18;17~20 js5~15;-8~-5;+10~+13;+10~+13;
u+4;m (TJ), (RFS);18;16~18 js9~;0~+2;+11~+13g;+11~+13;
u/f+4;h (TJ), (RFS);12;22~23 js1~;-2~-1;+4~+5;+4~+5;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;12;10~11;-4~-3;+7~+8;+7~+8;
WS+2;m;15;15~16;-7~-6;+4~+5;Launch (JG?);
WS+3;m;20;14~18;-7~-3;KND;KND;
WS+4;m;12;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-14;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;9;10(11~);0;+8;+9;
SS+3;m;15;18~19 (28~);-12~-11;-1~0;FS (+5~+6);
SS+4;l(RFF);18;19~20 (29~);-13~-12;+5~+6s;KND;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3;h;25;10;-8;KND;KND;
BT 4;m(RFF);20;14~16;-13~-11;Launch (JG?);Launch (JG?);
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
