Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage LFS or RFS d+3+4;m;55;20 pc8~17;-7;KND;KND;Rage art
in rage d+3+4;lm;7,10;12,28~29;-4;0;0;Rage drive
in rage d+3+4, 4;lm, m (TJ)(RFF);6,9,27;js14~;7s;JG;JG;Rage drive
in rage u/f+3, 4, 3+4;m (TJ), m, hh;16,15,17,27;28F;+4;KND;KND;Rage drive
in rage LFS u/f+3, 4, 3+4;m (TJ), m, hh;14,13,17,27;js1~;+4;KND;KND;Rage drive
1;h;7;10;+1;+8;+8;
1, 1;h, h;7,8;10;-2;+6;+6;
1, 1, 3;h, h, l;7,8,10;10;-12;-1;-1;
1, 1, 3, 3;h, h, l, h;7,8,10,14;10;-14;-3;-3;
1, 2;h, h;7,10;10;-1;+7;+8;
1, 2, 3;h, h, (Special);7,10;10;+3;+11g;+12;
1, 2, 4;h, h, (Special);7,10;10;+3;+11g;+12;
1, 2, f+3;h, h, m;7,10,14;10;-8;+3;+3;
1, 2, f+4;h, h, h (TJ);7,10,34;js14~;0;Tail spin;Tail spin;Tail spin
2;h;9;10;0;+8;+9;
2, 3;h, (LFS);9;10;+3;+11g;+12;
2, 4;h, (RFS);9;10;+3;+11g;+12;
2, f+3;h, m;9,14;10;-8;+3;+3;
2, f+4;h, h (TJ);9,34;js14~;0;Tail spin;Tail spin;Tail spin
3;h;15;14;-7;+4;+4;
3, 3;h, m;15,12;14;-13;-7;-2;
3, 3, F;h, m, (LFS);15,12;14;+2;+8;+13;
3, 3, 3;h, m, m;15,12,15;14;-14;KND;KND;
3, 3, 4;h, m, h, (RFS);15,12,15;14;10g;20g;20;
3, 3, d/f or f+4;h, m, h;15,12,23;14;-1;KND;KND;
3~4;mm (TJ);11,21;22;-3;KND;KND;
4;h;14;11;-6;+5;+5;
4, 3;h, m(LFF);14,12;11;-6;+5;+5;
4, 3, f (Cancel);h, (LFS);14;11;-6;+5;+5;
4, 4;h, h, (RFS);14,13;11;-1;+10g;+10;
4, f+4;h, h(RFF);14,13;11;-5;+6;+6;
4, 4, 3;h, h, m(RFF);14,13,20;11;-15s;KND;KND;
4, 4, 4;h, h, h, (RFS);14,13,10;11;-1;+10g;+10;
4, 4, f+4;h, h, h(RFF);14,13,25;11;-6;+5;+5;
