Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;12;+1;+7;+7;
3;m;11;13~14;-8~-7;+3~+4;+3~+4;
4;h;16;12;-7;+6;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;10;12;-8;+3;+3;
f+3;m;18;18;-3;+8;+12a;
f+4;m;13;17;-4;+1;+1;
d/f+1;m;14;16~17;-7~-6;+4~+5;+4~+5;
d/f+2;m;10;15~16;-13~-12;Launch (JG?);Launch (JG?);
d/f+3;l (TC);15;26~28 cs6~;-13~-11;+1~+3;+1~+3;
d/f+4;m, (SWS);15;14;+11;+16g;+16;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;20;20;-2;+3s;KND;
d+3;l;11;16;-17;-6;-6;
d+4;l;8;15;-10;+1;+6;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m (TC);20;20 cs6~;-11;KND;KND;
d/b+3;l (TC);12;16s cs4~;-17;-3;-3;
d/b+4;m;12;16;-6;+5;+5;
b+1;h;10;11~12;-9~-8;+2~+3;+9~+10;
b+2;h;12;14;+1;+7;Throw(KND);
b+3;m;18;22~23;-6~-5;+13~+14kg;+13~+14kg;Homing
b+4;m;14;16;-5;+6;+6;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u or u/f+3;m (TJ);20;28~29 js9~;-9~-8;KND;KND;
u/b+3;m (TJ);20;28~29 js9~;-9~-8;-8;-8;
u/b+4;m (TJ);11;15~17 js9~;-20~-18;-8~-6;-8~-6;
u+4;m (TJ);15;15~17 js9~;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);13;15~17 js9~;-13~-11;Launch (JG?);Launch (JG?);
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
u/b or u or U/F+1;m (TJ);15;23(29,35) 9~33;-;+;+;
u/b or u or U/F+1 (On the way down);m (TJ);18;23(29,35) 9~33;-;+;+;
U+2;m (TJ);18;23(29,35) 9~33;;;;
u/b or U/F+2;m (TJ);18;23(29,35) 9~33;;;;
u/b or u or U/F+3;m (TJ);25;23(29,35) 9~33;;;;
u/b or u or U/F+3 (On the way down);m (TJ);15?;23(29,35) 9~33;;;;
U/F(When landing)3;l (TJ);15;23(29,35) 9~33;;;;
U/F+4;m (TJ);25;23(29,35) 9~33;;;;
U/F+4 (On the way down);m (TJ);25;23(29,35) 9~33;;;;
U/F(When landing)4 (While landing);m (TJ);15;23(29,35) 9~33;;;;
WS+1;m;12;13;-4;+7;+14;
WS+2;m;10;13;-9;+2;+2;
WS+3;m;20;16;-7;KND;CS;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;8;12(13~);+1;+7;+7;
SS+3;m;11;13~14 (14~);-8~-7;+3~+4;+3~+4;
SS+4;h;16;12(13~);-7;+6;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
