Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;12;-3;+8;+8;
3;m;9;14;-5;+6;+6;
4;h;17;11;-7;+8;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;10;12;-3;+8;+8;
f+3;m (TJ);23;24~25 js6~;0~+1s;4~5s;KND;
f+4;(HAR);;24~25 6~;;;;
d/f+1;m;13;13;-1;+5;+5;
d/f+2;m;17;17~18;-7~-6;+4~+5;+4~+5;
d/f+3;m;15;15~16;-6~-5;+2~+3;+2~+3;
d/f+4;m;17;15;-9;+2;CS;
d+1;m;20;17;-7s;+3s;KND;
d+2;m?;18;20~21;-11~-10;0~+1;CS;
d+3;l;12;16;-11;0;0;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d/b+3;l (TC);24;25~27 cs6~;-26;KND;KND;
d/b+4;l (TC);24;29~30 cs6~;-26;KND;KND;Homing
b+1;m;13;14;-9;+2;+2;
b+2;m?;18;27~28;-13~-12;Launch (JG?);Launch (JG?);
b+3;m;15;12;-9;+2;+7;
b+4;m;17;17~18;-15~-14;+8~+9;CS;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b or u or u/f+3;m;22;19~20 ar19~;-13~-11;Launch (JG?);Launch (JG?);
u/b+4;m;25;16~18;-14~-12;KND;KND;
u or u/f+4;m;10;15~16 js9~;-15~-14;-4~-3;-4~-3;
WS+1;m;15;13~14;-6~-5;+5~+6;+5~+6;
WS+2;m;20;15~16;-13~-12;Launch (JG?);Launch (JG?);
WS+3;m;9;14;-5;+6;+6;
WS+4;m;15;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-14;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;10;12(13~);-3;+8;+8;
SS+3;m;14;16(17~);-5;+6;+6;
SS+4;h;17;11(12~);-7;+8;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
