Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;+1;+7;+7;
3;h;14;14;-16;-5;-5;
4;h;15;11;-9;+8;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;12;13;-3;+8;+8;
f+3;hh;10,20;14~15, 26~27;+6~+7 (-24s);KND;CS;
f+4;h;14;16;-12;-3;-1;
d/f+1;m;13;13;-1;+5;+5;
d/f+2;m;12;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;13;14;-11;+1;+1;
d/f+4;m;15;12;-4;+7;+7;
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;l (TC);13;20s cs6~;-12;0;+5;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;20;24~25;-5~-4;KND;KND;Tail spin, Homing
d/b+3;l;17;20;-13;+3s;KND;
d/b+4;l (TC);5;16~17ad cs6~;-9~-8;+2~+3;+2~+3;
b+1;m;15;20~21;-16;CS;CS;
b+2;h;12;12;-14;-3;-3;
b+3;m;10;18;-6;+6s;+6s;
b+4;h;15;14;-7;+11(SH);+18;
u/b or u+1;m (TJ);12;18 js9~;-8;+3;+3;
u/f+1;m (TJ);20;26s js10~;-5;KND;KND;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;m;10;18;-10;+1;+1;
u/b+3;m (TJ);15;14 js6~;-15;-4;-4;
u+3;m (TJ);20;14 js6~;-15;KND;KND;
u/f+3;m (TJ);20;14 js6~;-10;KND;KND;
u/b+4;m (TJ);21;23~28 js7~;-9~-4;+3~+8s;KND;
u+4;m (TJ);21;23~28 js7~;-6~-1;+3~+8s;KND;
U/F+4;m (TJ);21;23~28 js9~;-6~-1;+3~+8s;KND;
u/f+4;h (TJ);23;18 js9~;-9;-1;-1;
WS+1;m;14;13~14;-6~-5;+5~+6;+5~+6;
WS+2;m;15;15~16;-13~-12;Launch (JG?);Launch (JG?);
WS+3;m;15;18;-13;+2;+2;
WS+4;m;15;11~12;-4~-3;+7~+8;+7~+8;
WS+3+4;h;25;16;-16;KND;KND;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;m;15;14~15 (23~);-10~-9;+3~+4;+3~+4;
SS+2;m;15;13~14 (22~);-14~-13;Launch (JG?);Launch (JG?);
SS+3;h;14;14(15~);-16;-5;-5;
SS+4;l (TC);17;20(29~) cs6~;-15;+6s;YKU;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
