youtube
id;title;chanel
szehj7w-WI0;How to Play & Beat Marduk | 8 Min Guide;TheMainManSwe
eJkU2gSOO4M;[Guide] Marduk: The Basics, part 1 - Essential Moves;XiangsGaming
pAWBBhCeXu0;[Guide] Marduk: The Basics, part 2 - Common Strategies;XiangsGaming
xfUmGKw55to;[Guide] Marduk: The Basics, part 3 - Punishers, Juggles, and Summary;XiangsGaming
;
links
url;title
https://discord.gg/MaJ9Ads;Marduk Discord;
https://docs.google.com/spreadsheets/d/11ETDnPJuku2ref3PzODMpZ4y7e5_wfILR2aPv83WpSw/edit#gid=512805324;Applay's Quick Guide
